property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"4 BHK Apartment for Sale in Vesu Point, Vesu Surat",Carpet Area,1900 sqft,New Property,Ready to Move,10 out of 14,Unfurnished,East,"Property is available in prime location. Road Touch property. All basic requirement like Market, Malls, Schools, Hospitals, Airport, Cinemas etc, are available near by the project. This will become your right choice.Read more","₹5,500 per sqft ",₹1.88 Cr 
"6 BHK Penthouse for Sale in Gokul platinium, vesu, surat Surat",Super Area,6130 sqft,Resale,Ready to Move,11 out of 12,Unfurnished,6,"Penthouse is available for sale. It covered area of 6130 sq-ft, it is a good location property. Please contact for more details.Read more","₹4,486 per sqft ",₹2.75 Cr 
5 BHK Apartment for Sale in Pal Surat,Carpet Area,3750 sqft,Resale,Ready to Move,4 out of 15,Unfurnished,South -West,Fully Vegetarian campus in pal,"₹5,644 per sqft ",₹2.51 Cr 
"3 BHK Apartment for Sale in Vesu Point, Vesu Surat",Carpet Area,3000 sqft,New Property,Poss. by Jan '25,4 out of 9,Unfurnished,Vesu Point,"3 BHK, Multistorey Apartment is available for Sale in Vesu, Surat for 2.0 Crore(s)Read more",,₹2 Cr 
"4 BHK Apartment for Sale in DMD Signus, Vesu Surat",Super Area,3895 sqft,Unfurnished,Poss. by Dec '28,New Property,DMD Signus,4,,,Call for Price
"4 BHK Apartment for Sale in Avadh Onella, Dumas Road Surat",Super Area,3579 sqft,Unfurnished,Poss. by Dec '26,New Property,Avadh Onella,4,"Multistorey Apartment for Sale in Dumas Road, Surat. Covered area is 3579.0  Sq-ft. This property belongs to ""Avadh Onella"" .Read more","₹4,500 per sqft ",₹1.61 Cr 
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat",Super Area,4400 sqft,Unfurnished,Poss. by Jan '25,New Property,Milestone Pristine,4,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 4400.0  Sq-ft. This property belongs to ""Milestone Pristine"" .Read more","₹5,850 per sqft ",₹2.57 Cr 
"4 BHK Penthouse for Sale in Sangini Epitome, Bhatha Surat",Super Area,4304 sqft,Unfurnished,Poss. by Jun '26,New Property,Sangini Epitome,1 Open,"Penthouse for Sale in Bhatha, Surat. Covered area is 4304.0  Sq-ft. This property belongs to ""Sangini Epitome"" .Read more","₹4,750 per sqft ",₹2.04 Cr 
"4 BHK Apartment for Sale in DMD Signus, Vesu Surat",Super Area,3133 sqft,New Property,Poss. by Jun '25,5 out of 12,Unfurnished,East,4bhk Apartment With all lifestyle amenities in campus,"₹7,200 per sqft ",₹2.25 Cr 
"4 BHK Apartment for Sale in Milestone Elitus, Vesu Surat",Super Area,3376 sqft,New Property,Poss. by Jun '24,8 out of 13,Unfurnished,East,Luxurious Flat For Sell In Vesu Prime Area With All Aminities.,"₹5,835 per sqft ",₹1.97 Cr 
5 BHK Penthouse for Sale in Pal Surat,Super Area,6400 sqft,New Property,Poss. by Jun '26,18 out of 19,Unfurnished,East,"This exclusive 5 BHK luxury penthouse is a rare find, located in the heart of the PAL area. With lavish amenities including a jacuzzi and more, it offers unparalleled extravagance. All amenities are elegantly placed at podium level, enhancing the luxurious ambiance. Featuring the best floor plan in the area, this penthouse sets a new standard for upscale living. Dont miss out on this limited opportunity to experience the epitome of luxury and comfort.Read more","₹6,301 per sqft ",₹4.03 Cr 
4 BHK Apartment for Sale in New citylight Surat,Super Area,4900 sqft,New Property,Poss. by Jan '25,7 out of 12,Unfurnished,East,4 And 5 BHK Ultra Luxurious Flat For Sell In New City Light Prime Area .Contact for More Details .Read more,"₹6,300 per sqft ",₹3.08 Cr 
"4 BHK Apartment for Sale in Baghban The Lifestyle, Pal Surat",Super Area,3513 sqft,New Property,Poss. by Dec '24,5 out of 13,Unfurnished,East,"A 4 bedroom  flat, located in pal, surat, is available. It is a ready to move in flat located in Baghban life Style. Situated in a prominent locality, which is in its prime condition. The flat is on the 7th floor of the building. Aesthetically designed, this property has 3 bathrooms. The property also has 2balconys. The flat has a good view of the locality. The flat is a freehold property and has a super built-Up area of 3513 sq. Ft. The flat is located in a gated society and offers good security.Read more","₹5,454 per sqft ",₹1.91 Cr 
"3 BHK Apartment for Sale in Sangini Nirvana, Vesu Surat",Super Area,2650 sqft,New Property,Ready to Move,5 out of 12,Unfurnished,East,"Looking for a 3 bhk property for sale in surat Buy this 3 bhk flat in dmd park that is situated in vesu, surat. The flat north  Facing. Constructed on a super built up area of 2650 sq.Ft., the flat comprises 3 bedrooms, 3 bathrooms and 1 balconies. The residential building has 12 floors in total and the flat for sale is located on the 5th floor.Read more","₹6,200 per sqft ",₹1.64 Cr 
5 BHK Apartment for Sale in Vesu Surat,Carpet Area,2724 sqft,New Property,Poss. by Dec '25,9 out of 11,Unfurnished,South -West,A NEW LANDMARK FOR LAVISH LIFESTYLEBook Your 5BHK Ultra Luxurious Flat at Prime Location of VESU.South West Direction Flat11ft Floor Height36000 sq.ft carpet area Garden4 Alloted Car Parking15amp power backupAll Ultra Luxurious Amenities In CampusFor more details and site visit please call meRead more,"₹6,885 per sqft ",₹3.53 Cr 
4 BHK Apartment for Sale in Vesu Surat,Super Area,3100 sqft,New Property,Poss. by Aug '25,10 out of 18,Unfurnished,South -West,"he property offers a remarkable lifestyle. Available configurations include 4 BHK. As per the area plan, units are in the size range of 1547.0  2961.0 sq.ft.. Siddhi The Atmosphere Serene was launched in November 2022. Project possession is slated for Dec, 2025. There are 2 buildings in this project. Total number of flats  is 69.It offers multiple facilities such as Power Backup. If you are passionate about sports, you will enjoy the facilities such as Cricket Pitch, Squash Court, Volleyball Court, Skating Rink, Aerobics Room, Badminton Court, Cycling  Jogging Track.Read more","₹6,452 per sqft ",₹2 Cr 
5 BHK Apartment for Sale in Vesu Surat,Carpet Area,3120 sqft,Unfurnished,Poss. by Jun '25,New Property,East,Garden/Park,Presenting a Gift of the Premium Luxurious Community LIFESTYLE.,"₹5,700 per sqft ",₹3.23 Cr 
"4 BHK Apartment for Sale in Rajhans Corazo, Vesu Surat",Super Area,3800 sqft,New Property,Poss. by Aug '24,7 out of 12,Unfurnished,West,"Rajhans Corazo is the ultimate destination for those seeking a modern lifestyle steeped in luxury, comfort and pure love, These 3  4 BHK plush homes situated in the mostcherished vicinity of Vesu boast an international architecture, latest amenities and bestin class comforts that one has been dreaming of.Welcome to the world of Rajhans Corazo to fill your life with limitless love. Here, you can immerse yourself in every kind of luxury yet youre privileged to find more of it. All you need to do is open an iconic world of living only to be a part of something limitless, foreverRead more","₹5,289 per sqft ",₹2.01 Cr 
"4 BHK Apartment for Sale in Avadh Copperstone, Dumas Road Surat",Super Area,2980 sqft,Resale,Ready to Move,1 out of 12,Furnished,East,4 BHK Luxurious Flat For Sell In Dummas Road Prime Area With All Amenities .Read more,"₹6,040 per sqft ",₹1.80 Cr 
"4 BHK Apartment for Sale in Glorina World, Vesu Surat",Super Area,3153 sqft,Resale,Ready to Move,11 out of 13,Unfurnished,East,Ready for fit out 4BHK in prime location.,"₹5,503 per sqft ",₹1.73 Cr 
4 BHK Apartment for Sale in Vesu Surat,Super Area,3200 sqft,New Property,Poss. by Dec '24,9 out of 13,Unfurnished,East,New Plotting  in Prime location in vesu,"₹6,031 per sqft ",₹1.93 Cr 
4 BHK Apartment for Sale in Piplod Surat,Carpet Area,2085 sqft,New Property,Poss. by Dec '24,17 out of 19,Unfurnished,East,"Flat For Sale, Details Piplod, Surat. 3791 To 7069 Sq.Ft Area New Construction River View 2 Tower, 19 FloorsRead more","₹8,599 per sqft ",₹3.26 Cr 
"4 BHK Apartment for Sale in Baghban The Lifestyle, Pal Surat",Super Area,3600 sqft,New Property,Poss. by Oct '24,7 out of 13,Unfurnished,East,"4 BHK, Multistorey Apartment is available for Sale in Pal, Surat for 2.1 Crore(s)Read more","₹5,600 per sqft ",₹2.01 Cr 
4 BHK Apartment for Sale in Vesu Surat,Carpet Area,3000 sqft,Resale,Ready to Move,7 out of 10,Furnished,North,"This luxurious 4 BHK apartment is located on the prime Main VIP Road in Surat. The apartment is spacious and well-appointed, with all the amenities you need for a comfortable and luxurious lifestyle.Read more","₹10,909 per sqft ",₹4.31 Cr 
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat",Super Area,3767 sqft,New Property,Poss. by Dec '24,5 out of 14,Unfurnished,East,"This is very ideally located, opposite phoenix on vesu main road. All shopping, cinema, medical stores, banks, ATM near by. The flooring is Italian marble, outdoor facility like open amphitheater, jogging track, Gazebo sitting, Kitty party zone, Senior citizen seat out, sports include multipurpose court for badminton, volley ball court, Basket ball, Box cricket pitch, children play area, skating rink, and many more. Perfect for a family living.Read more","₹5,991 per sqft ",₹2.25 Cr 
"4 BHK Apartment for Sale in Newtone Ashirwad River Homes 1, Piplod Surat",Carpet Area,2500 sqft,New Property,Ready to Move,6 out of 12,Unfurnished,East,"4 BHK, Multistorey Apartment is available for Sale in Piplod, Surat for 3.7 Crore(s)Read more","₹9,102 per sqft ",₹3.70 Cr 
5 BHK Apartment for Sale in Vesu Surat,Carpet Area,3250 sqft,New Property,Poss. by Apr '26,5 out of 19,Unfurnished,East,Road Touch,"₹7,500 per sqft ",₹4.42 Cr 
"3 BHK Apartment for Sale in Samprati Palace, Vesu Surat",Super Area,2650 sqft,Resale,Ready to Move,11 out of 12,Unfurnished,East,Samprati Palace,"₹6,500 per sqft ",₹1.72 Cr 
"4 BHK Apartment for Sale in Savan Superia, Althan Surat",Super Area,3671 sqft,New Property,Ready to Move,16 out of 18,Unfurnished,East,near shyam mandir vesu vip road,"₹5,200 per sqft ",₹1.90 Cr 
3 BHK Apartment for Sale in Vesu Surat,Super Area,2493 sqft,New Property,Poss. by Dec '25,8 out of 13,Unfurnished,East,"3   4 BHK luxurious flat in vesu area , here the area of locality is very good and lavish and luxurious 3 Bhk flats are availableRead more","₹6,570 per sqft ",₹1.63 Cr 
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat",Super Area,3113 sqft,New Property,Poss. by Jan '25,5 out of 12,Unfurnished,South -West,Millionaire Lifestyle a modern living with all the lastest amenities inside the campus. with good flat planning inside with all the facilities.Read more,"₹6,660 per sqft ",₹2.07 Cr 
"4 BHK Apartment for Sale in Atmosphere Green, Vesu Surat",Carpet Area,1870 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,North - East,Altra Luxurious 4 Bhk Flat For Sell In Vesu,"₹5,471 per sqft ",₹1.86 Cr 
"4 BHK Apartment for Sale in Green Hills, Adajan Surat",Carpet Area,1860 sqft,Resale,Ready to Move,4 out of 12,Furnished,East,"4 BHK, Multistorey Apartment is available for Sale in Adajan, Surat for 2.5 Crore(s)Read more","₹7,824 per sqft ",₹2.51 Cr 
"5 BHK Apartment for Sale in Casa Rivera, Adajan Surat",Carpet Area,3500 sqft,Resale,Ready to Move,9 out of 25,Unfurnished,South -West,fully luxurious amenities opp tapi river frant adajan surat,"₹7,433 per sqft ",₹3.75 Cr 
"4 BHK Apartment for Sale in DMD Signus, Vesu Surat",Super Area,3299 sqft,Unfurnished,Poss. by Dec '28,New Property,DMD Signus,4,,,Call for Price
"4 BHK Apartment for Sale in Avadh Onella, Dumas Road Surat",Super Area,3772 sqft,Unfurnished,Poss. by Dec '26,New Property,Avadh Onella,4,"Multistorey Apartment for Sale in Dumas Road, Surat. Covered area is 3772.0  Sq-ft. This property belongs to ""Avadh Onella"" .Read more","₹4,500 per sqft ",₹1.69 Cr 
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat",Super Area,4600 sqft,Unfurnished,Poss. by Jan '25,New Property,Milestone Pristine,4,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 4600.0  Sq-ft. This property belongs to ""Milestone Pristine"" .Read more","₹5,850 per sqft ",₹2.69 Cr 
4 BHK Apartment for Sale in Adajan Surat,Carpet Area,2238 sqft,New Property,Poss. by Dec '24,9 out of 13,Unfurnished,East,The project has 4 bhk multistorey apartments. The project has 2 towers of 13 storeys. All the apartments has east west entry as per vastu compliance. The project is near by schools markets and close to main road. The project has all the amenities with parkings. The apartment has 4070 square feet super build up areaRead more,"₹6,100 per sqft ",₹2.48 Cr 
"4 BHK Apartment for Sale in Surya Signature, Vesu Surat",Super Area,4000 sqft,New Property,Poss. by Dec '24,5 out of 20,Unfurnished,East,4bhk premium apartment on 2nd vip road with all five star amenities in campusRead more,"₹7,200 per sqft ",₹2.88 Cr 
"4 BHK Apartment for Sale in Avadh Bertina, Vesu Surat",Carpet Area,2500 sqft,New Property,Poss. by Jun '24,7 out of 13,Unfurnished,East,Luxurious Flat For Sell In Vesu Prime Location With All Aminities.Read more,"₹6,100 per sqft ",₹2.80 Cr 
5 BHK Penthouse for Sale in Vesu Surat,Super Area,8000 sqft,New Property,Poss. by Apr '25,11 out of 12,Unfurnished,East,Luxurious 5 BHK Pentahouse For Sell In Vesu Prime Location .,"₹6,301 per sqft ",₹5.04 Cr 
"4 BHK Apartment for Sale in Raghuvir Spelito, Vesu Surat",Super Area,3401 sqft,New Property,Poss. by Dec '27,5 out of 13,Unfurnished,East,"A 4 bedroom flat, located in vesu surat, is available. It is a under construction in flat located in Raghuvir spelito. Situated in a prominent locality, iproperty, which is in its prime condition. The flat is on the 6th floor of the building. Aesthetically designed, this property has 4 bathrooms. The property also has 1 balconys and pooja room and study room. The flat has a good view of the locality. The flat is a freehold property and has a super built-Up area of 3401 sq. Ft. The flat is located in a gated society and offers good security.Read more","₹5,601 per sqft ",₹1.90 Cr 
"4 BHK Apartment for Sale in Atmosphere Green, Vesu Surat",Super Area,3400 sqft,New Property,Poss. by Dec '26,5 out of 12,Unfurnished,North,"The beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹5,800 per sqft ",₹1.97 Cr 
4 BHK Apartment for Sale in Vesu Canal Road Surat,Super Area,5460 sqft,Resale,Ready to Move,2 out of 11,Furnished,South -West,"Floor Height 11.4inch, Best Location, 3Cars Alloted Parking, only 2 flats per floor,Read more","₹8,242 per sqft ",₹4.50 Cr 
"5 BHK Apartment for Sale in Shaligram The Emerald, Vesu Surat",Carpet Area,2825 sqft,New Property,Ready to Move,9 out of 11,Unfurnished,East,"5 BHK lavish Flats Ample car park per flat More than 30,000 Sqft of Landscape area Including Party Lawn VIP road Touch Project surrounded by Jain devotional places A bouquet of amenities  facilities covering an entire family One fix parking with personal electric point for vehicle charging. Italian marble flooring in entrance foyer, living room kitchen  dining space. All luxurious amenities.Read more","₹7,011 per sqft ",₹3.60 Cr 
4 BHK Apartment for Sale in Vesu Surat,Carpet Area,2020 sqft,Unfurnished,Poss. by Oct '25,New Property,East,Main Road,4 BHK 100 percent white Project.The Apartment Architecture is with elements that Speak to soft Natural and rustic tones that are Enduring and special.Read more,"₹5,900 per sqft ",₹2.16 Cr 
"3 BHK Apartment for Sale in Sangini Lakeville, Vesu Surat",Super Area,3000 sqft,New Property,Poss. by Sep '25,8 out of 20,Unfurnished,East,"Nestled beside an untouched lake, a residence is poised to present the pinnacle of comfort and relaxation.Embrace the Azure Vistas, where luxury and nature harmoniously combine. Immerse yourself in Lavish Currents of Peace. Allow yourself to sink into a tranquil state of being. This exceptional dwelling is part of the exciting landscape of underconstruction projects in Surat, representing innovation and progress. Discover the allure of new residential projects that promise a fresh perspective on contemporary living.Read more","₹6,500 per sqft ",₹1.95 Cr 
4 BHK Apartment for Sale in Dumas Road Surat,Carpet Area,2040 sqft,New Property,Poss. by Aug '25,3 out of 10,Unfurnished,East,"Project name is The boulevardAmenitiesBanqute Hall , Outdoor Cafereria , VIP Lounge , Multi Purpose Lawn , Gymnasium ,Wellness Centre , Deck Seating , Camp Fire , Waterbody , Cycling Track , Fountain , Chit Chat CornerJacuzzi , Sculpture , Plantations , Resot Type Entry Exit , Security CabinRead more","₹5,000 per sqft ",₹2.26 Cr 
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat",Carpet Area,1807 sqft,New Property,Poss. by Sep '24,4 out of 13,Unfurnished,East,"Prime location, luxurious 4bhk apartment with modern amenities. 2 flats on each floor.Read more","₹5,753 per sqft ",₹1.89 Cr 
4 BHK Apartment for Sale in Vesu Surat,Super Area,3200 sqft,New Property,Poss. by Dec '24,9 out of 13,Unfurnished,East,New Plotting  in Prime location in vesu,"₹5,938 per sqft ",₹1.90 Cr 
"3 BHK Apartment for Sale in Ascon Surya Green View, Vesu Surat",Super Area,3000 sqft,Resale,Ready to Move,5 out of 12,Unfurnished,East,it is 3 Bhk Luxurious Flats with Modern Amenities.,"₹8,000 per sqft ",₹2.40 Cr 
5 BHK Apartment for Sale in Piplod Surat,Super Area,5000 sqft,New Property,Poss. by Aug '25,7 out of 17,Unfurnished,East,Ultra Luxurious flat with the best Riverview,"₹10,000 per sqft ",₹5 Cr 
4 BHK Apartment for Sale in Vesu Surat,Super Area,4545 sqft,Resale,Ready to Move,7 out of 13,Furnished,East,premium furnished,"₹8,801 per sqft ",₹4 Cr 
4 BHK Apartment for Sale in Althan Surat,Super Area,3087 sqft,New Property,Poss. by Dec '25,1 out of 13,Unfurnished,East,"Meera Platina is a very primium project at a prime location of Althan Canal road. very near to Grocery stores and Hospitals, the Meera Platina is in close viciity of upcoming Metro Station. The mentioned is 4 BHK with specious bedrooms and balcony for stunning garden view. It has amenities like indoor games, banquet hall as we as indoor fully equipped gym.Read more","₹5,591 per sqft ",₹1.72 Cr 
4 BHK Apartment for Sale in Vesu Surat,Super Area,4500 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,East,,"₹6,000 per sqft ",₹2.70 Cr 
4 BHK Apartment for Sale in Pal Surat,Carpet Area,1800 sqft,Resale,Ready to Move,7 out of 12,Unfurnished,East,4 bhk luxurious flat for sale in pal surat near tgb circle pal.,"₹4,649 per sqft ",₹1.72 Cr 
"4 BHK Apartment for Sale in Shyam Palace, Vesu Surat",Super Area,3515 sqft,Resale,Ready to Move,5 out of 12,Furnished,East,Shyam Palace,"₹7,112 per sqft ",₹2.50 Cr 
"3 BHK Apartment for Sale in Avantis Ofira Siesta, VIP Road Surat",Super Area,2800 sqft,New Property,Ready to Move,3 out of 13,Unfurnished,South - East,main road close school and shopping centr,"₹6,000 per sqft ",₹1.68 Cr 
"4 BHK Apartment for Sale in Sangini Lakeville, Vesu Surat",Super Area,3000 sqft,Resale,Poss. by May '25,6 out of 20,Unfurnished,South -West,4 BHK Luxurious Flat For Sell In Vesu Prime Location With 20 Floor Building.Read more,"₹6,500 per sqft ",₹1.95 Cr 
"3 BHK Apartment for Sale in Ambience, Vesu Surat",Super Area,2493 sqft,New Property,Poss. by Sep '25,5 out of 13,Unfurnished,South -West,This property is located at heart of the Vesu VIP Main Road with all the modern amenities and well conneted location.Read more,"₹6,570 per sqft ",₹1.63 Cr 
"4 BHK Apartment for Sale in DMD Park, Vesu Surat",Carpet Area,1930 sqft,New Property,Ready to Move,7 out of 11,Unfurnished,North - East,Altra Luxurious 4 Bhk Flat For Sell In Vesu,"₹6,500 per sqft ",₹2.28 Cr 
"4 BHK Apartment for Sale in Prestige manor, Pal Surat",Carpet Area,2000 sqft,Resale,Ready to Move,5 out of 12,Unfurnished,East,,"₹5,491 per sqft ",₹1.84 Cr 
"5 BHK Apartment for Sale in Casa Rivera, Adajan Surat",Carpet Area,4150 sqft,Resale,Ready to Move,9 out of 25,Unfurnished,South -West,Tapi river frant  fully luxurious amenities good property best property In surat good location good localityRead more,"₹8,264 per sqft ",₹4.99 Cr 
"4 BHK Apartment for Sale in Avadh Onella, Dumas Road Surat",Super Area,3867 sqft,Unfurnished,Poss. by Dec '26,New Property,Avadh Onella,4,"Multistorey Apartment for Sale in Dumas Road, Surat. Covered area is 3867.0  Sq-ft. This property belongs to ""Avadh Onella"" .Read more","₹4,500 per sqft ",₹1.74 Cr 
"4 BHK Apartment for Sale in Raghuvir Silverstone, Vesu Surat",Super Area,3636 sqft,Raghuvir Silverstone,New Property,Unfurnished,4,4,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 3636.0  Sq-ft. This property belongs to ""Raghuvir Silverstone"" .Read more","₹6,500 per sqft ",₹2.36 Cr 
"4 BHK Apartment for Sale in Veer Supremus, Adajan Surat",Carpet Area,1686 sqft,New Property,Poss. by Jul '24,9 out of 12,Unfurnished,East,"The project has 4  5 bhk multistorey apartments. The project has 5 towers of 12 storeys. All the apartments has east west entry as per vastu compliance. The project is near by schools markets and close to main road. The project has all the amenities with parkings. The apartment has 2855, 3067, 3453  4378 square feet super build up areaRead more","₹5,400 per sqft ",₹1.65 Cr 
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat",Carpet Area,2310 sqft,New Property,Poss. by Dec '24,5 out of 12,Unfurnished,East,pure Vegetarian Campus with Possession soon,"₹5,786 per sqft ",₹2.43 Cr 
"4 BHK Apartment for Sale in Avadh Ercole, Vesu Surat",Super Area,3800 sqft,New Property,Poss. by Jun '24,7 out of 13,Unfurnished,East,4 BHK Luxurious Flat For Sell In Vesu Prime Area.,"₹5,684 per sqft ",₹2.16 Cr 
"5 BHK Penthouse for Sale in Veer Swastik Sky, Pal Surat",Super Area,4600 sqft,New Property,Poss. by Apr '25,12 out of 13,Unfurnished,South -West,5 BHK Luxurioous Pentahouse For Sell In Gaurav PAth Road With All Aminities .Read more,"₹5,000 per sqft ",₹2.30 Cr 
"4 BHK Apartment for Sale in Sangini Epitome, Bhatha Surat",Super Area,3415 sqft,New Property,Poss. by Jun '26,5 out of 13,Unfurnished,North - East,"This 4 bhk flat is located in sangini epitome, which houses some of the most spacious flats in pal, surat. The floor plan additionally contains 4 bedrooms, 4 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 3415 sq.Ft. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. This residential property is still under construction and will be available for possession by june 2026.Read more","₹4,751 per sqft ",₹1.62 Cr 
"4 BHK Apartment for Sale in Sangini Evoq, Vesu Surat",Super Area,3800 sqft,New Property,Ready to Move,3 out of 20,Unfurnished,North,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹6,700 per sqft ",₹2.54 Cr 
"4 BHK Apartment for Sale in Surya Landmark, Vesu Surat",Super Area,5460 sqft,Resale,Ready to Move,2 out of 12,Unfurnished,South -West,"4BHK Luxurius FurnitureBest Location Of Vesu Area, Best Nature ViewReasonable PriceFor more details and visit please call meRead more","₹8,242 per sqft ",₹4.50 Cr 
"4 BHK Apartment for Sale in Avadh Habitat, Dumas Road Surat",Super Area,3600 sqft,New Property,Ready to Move,7 out of 13,Unfurnished,South -West,"4 bhk luxurious flat for sale with deck balcony, dummas road.Near Surat AirportAll Luxurious AMENITIES LIKE CLUBRead more","₹4,500 per sqft ",₹1.62 Cr 
4 BHK Apartment for Sale in Vesu Surat,Carpet Area,2200 sqft,Unfurnished,Ready to Move,New Property,East,"Garden/Park, Main Road","Revel in the Resplendent beauty of made to awe interiors ti design and all the Opulence, in the Vicinity. Its time to immerse in extravagance, once for all.Read more","₹6,491 per sqft ",₹2.59 Cr 
"4 BHK Apartment for Sale in Sangini Siddhanta, Vesu Surat",Super Area,4000 sqft,New Property,Poss. by Jun '27,8 out of 12,Unfurnished,East,"With a perfect blend of living and lively spaces, Sangini Siddhanta promises to take your lifestyle graph a notch higher. Standing tall in the midst of lush green landscapes, Sangini Siddhanta offers uninterrupted views of the most iconic monument of the city, Shaheed Smarak, which is spread across 99,000 sq. yards. Make the most of life with 10,500 sq. ft. of amenities area and 24,500 sq. ft. of green landscape garden. Come home to grandness at Sangini Siddhanta with its Bigonspace 4, 4.5  5 BHK residences.Read more","₹7,475 per sqft ",₹2.99 Cr 
4 BHK Apartment for Sale in Dumas Road Surat,Carpet Area,1978 sqft,New Property,Poss. by Aug '25,7 out of 10,Unfurnished,East,"Project name is The boulevardAmenitiesBanqute Hall , Outdoor Cafereria , VIP Lounge , Multi Purpose Lawn , Gymnasium ,Wellness Centre , Deck Seating , Camp Fire , Waterbody , Cycling Track , Fountain , Chit Chat CornerJacuzzi , Sculpture , Plantations , Resot Type Entry Exit , Securuty CabinRead more","₹5,000 per sqft ",₹2.19 Cr 
"4 BHK Apartment for Sale in Samprati Palace, Vesu Surat",Super Area,3369 sqft,Resale,Ready to Move,9 out of 12,Unfurnished,South -West,High class Society with complete luxurious amenities,"₹6,708 per sqft ",₹2.26 Cr 
"4 BHK Apartment for Sale in Agastya, Vesu Surat",Super Area,3336 sqft,New Property,Poss. by Nov '24,8 out of 12,Unfurnished,East,4 bhk flat for sale in pramukh agatsya vesu surat nr surat airport and diamond bourse.Read more,"₹6,651 per sqft ",₹2.21 Cr 
4 BHK Apartment for Sale in Vesu Canal Road Surat,Carpet Area,1917 sqft,Resale,Ready to Move,5 out of 10,Unfurnished,East,"4 BHK Flat For Sale2950 Sq.Ft AreaFurnishedon Vesu Canal Road, Surat.Read more","₹6,000 per sqft ",₹1.77 Cr 
"4 BHK Apartment for Sale in Central Park, Pal Surat",Super Area,3770 sqft,New Property,Poss. by Mar '25,7 out of 13,Unfurnished,East,,"₹5,850 per sqft ",₹2.20 Cr 
4 BHK Apartment for Sale in Vesu Surat,Carpet Area,3275 sqft,Resale,Ready to Move,8 out of 12,Unfurnished,East,"look no further We have a wide range of apartments to choose from, all in prime locations and at competitive prices.Read more","₹6,875 per sqft ",₹2.75 Cr 
"4 BHK Apartment for Sale in Raghuvir Sierra, Vesu Surat",Super Area,3551 sqft,New Property,Poss. by Jul '25,5 out of 12,Unfurnished,East,"Raghuvir Sierra is a Premium project by Raghuvir Developers in Vesu, Surat. It is located near VIP Road. The proposed luxurious flat is on 5th floor of the Tower and It has two type of living room i.e. formal and informal. It is  located near Jain temple and Aaradhna Bhavan.Read more","₹6,402 per sqft ",₹2.27 Cr 
4 BHK Apartment for Sale in Pal Surat,Carpet Area,2000 sqft,New Property,Poss. by May '25,6 out of 12,Unfurnished,East,,"₹6,000 per sqft ",₹2.10 Cr 
"5 BHK Apartment for Sale in Avadh Ercole, Vesu Surat",Carpet Area,2915 sqft,Resale,Poss. by Oct '25,5 out of 12,Unfurnished,East,Luxurious project,"₹5,700 per sqft ",₹3.02 Cr 
"4 BHK Apartment for Sale in Avantis Ofira Posh, Bharthana Surat",Super Area,4590 sqft,New Property,Ready to Move,2 out of 13,Unfurnished,North - East,Luxurious campus with all amenities.,"₹5,708 per sqft ",₹2.62 Cr 
"4 BHK Apartment for Sale in Atmosphere Green, Vesu Surat",Super Area,3400 sqft,New Property,Poss. by Aug '24,5 out of 14,Unfurnished,East,4 BHk Luxurious flat ready for sale short time possession peacefully living society in vest in campus Jain Temple. Please contact for more details.Read more,"₹5,600 per sqft ",₹1.90 Cr 
3 BHK Apartment for Sale in Vesu Surat,Super Area,2742 sqft,New Property,Poss. by Oct '26,5 out of 13,Unfurnished,South -West,"Avadh Selenic one of the most Luxurious Project In Vesu with world class amenities design by Singapore Architecture, with 3,4  5 Bhk flat inside the campus.Read more","₹6,300 per sqft ",₹1.72 Cr 
"4 BHK Apartment for Sale in Om Icon, Vesu Surat",Carpet Area,1850 sqft,Resale,Ready to Move,7 out of 11,Unfurnished,North - East,Altra Luxurious 4 Bhk Flat For Sell In Vesu,"₹5,634 per sqft ",₹2 Cr 
